index,cik,ticker,name
226,1065198,VCISY,VINCI /FI
227,62709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
228,1436791,NTOIY,Neste OYJ
229,1395064,TAK,TAKEDA PHARMACEUTICAL CO LTD
230,1571996,DELL,Dell Technologies Inc.
231,1163165,COP,CONOCOPHILLIPS
232,1123360,GPN,GLOBAL PAYMENTS INC
233,872589,REGN,"REGENERON PHARMACEUTICALS, INC."
234,1666700,DD,"DuPont de Nemours, Inc."
235,1364012,SAFRY,SAFRAN S.A.
236,1001838,SCCO,SOUTHERN COPPER CORP/
237,1648416,RACE,Ferrari N.V.
238,1428439,ROKU,"ROKU, INC"
239,948401,CFRUY,COMPAGNIE FINANCIERE RICHEMONT AG /FI
240,1610520,UBS,UBS Group AG
241,1545460,OLCLY,"Oriental Land Co., Ltd./ADR"
242,1099800,EW,Edwards Lifesciences Corp
243,313216,PHG,KONINKLIJKE PHILIPS NV
244,753762,VLVLY,AKTIEBOLAGET VOLVO \PUBL\
245,885725,BSX,BOSTON SCIENTIFIC CORP
246,1059556,MCO,MOODYS CORP /DE/
247,891478,SAN,"Banco Santander, S.A."
248,80661,PGR,PROGRESSIVE CORP/OH/
249,49071,HUM,HUMANA INC
250,1132597,ITUB,Itau Unibanco Holding S.A.
251,1446596,FANUY,Fanuc Ltd
252,1445470,CSUAY,China Shenhua Energy Co Ltd
253,899108,PDRDY,PERNOD RICARD S A /FI
254,929869,RELX,RELX PLC
255,1133421,NOC,NORTHROP GRUMMAN CORP /DE/
256,32604,EMR,EMERSON ELECTRIC CO
257,1551182,ETN,Eaton Corp plc
258,927971,BMO,BANK OF MONTREAL /CAN/
259,1528541,CHPXY,"China Pacific Insurance (Group) Co., Ltd./ADR"
260,1393818,BX,Blackstone Group Inc
261,1164727,NEM,NEWMONT Corp /DE/
262,1605484,STLA,Stellantis N.V.
263,1413447,NXPI,NXP Semiconductors N.V.
264,1446711,LZAGY,Lonza Group AG
265,1436381,WFAFY,WESFARMERS LTD
266,1535527,CRWD,"CrowdStrike Holdings, Inc."
267,1536278,GWLLY,Great Wall Motor Co Limited/ADR
268,823768,WM,WASTE MANAGEMENT INC
269,315293,AON,Aon plc
